student_id,gender,program,term,year,campus,unit_code,assignment_1,quiz,mid_exam,practical_test_1,assignment_2,practical_test_2,submission_timeliness,funding_type,attendance,risk/notrisk
P1021,Male,DIT,1,2023,Labasa,413,29,33,27,31,none,none,late submission,sponsored,75,0
P1022,Female,DIT,1,2023,Labasa,413,88,85,90,87,none,none,on time,sponsored,75,1
P1023,Male,DIT,1,2023,Labasa,413,65,69,62,67,none,none,on time,sponsored,75,1
P1024,Male,DIT,1,2023,Labasa,413,52,48,54,50,none,none,on time,sponsored,75,1
P1025,Female,DIT,1,2023,Labasa,413,87,91,84,89,none,none,on time,sponsored,75,1
P1026,Female,DIT,1,2023,Labasa,413,73,77,70,75,none,none,on time,sponsored,75,1
P1027,Female,DIT,1,2023,Labasa,413,46,43,49,45,none,none,late submission,sponsored,100,0
P1028,Female,DIT,1,2023,Labasa,413,82,86,79,84,none,none,on time,sponsored,78,1
P1029,Female,DIT,1,2023,Labasa,413,38,35,41,37,none,none,late submission,sponsored,79,0
P1030,Female,DIT,1,2023,Labasa,413,95,98,92,96,none,none,on time,sponsored,76,1
P2501,Female,CERTIV IT,1,2025,Labasa,410,65,none,none,0,0,0,late submission,private,52,0
P2502,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,sponsored,50,0
P2503,Male,CERTIV IT,1,2025,Labasa,410,60,none,none,74,80,89,on time,sponsored,75,1
P2504,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,sponsored,56,0
P2505,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,sponsored,54,0
P2506,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,70,0,67,late submission,private,75,0
P2507,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,84,late submission,sponsored,75,0
P2508,Male,CERTIV IT,1,2025,Labasa,410,68,none,none,75,90,80,on time,sponsored,75,1
P2509,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,sponsored,56,0
P2510,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,70,0,62,on time,sponsored,75,1
P2511,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,80,70,on time,sponsored,75,1
P2512,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,70,late submission,private,55,0
P2513,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,private,55,0
P2514,Female,CERTIV IT,1,2025,Labasa,410,54,none,none,50,0,0,late submission,sponsored,51,0
P2515,Male,CERTIV IT,1,2025,Labasa,410,84,none,none,84,84,92,on time,sponsored,75,1
P2516,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,sponsored,75,0
P2517,Male,CERTIV IT,1,2025,Labasa,410,59,none,none,80,0,72,on time,sponsored,75,1
P2518,Male,CERTIV IT,1,2025,Labasa,410,65,none,none,71,83,75,late submission,sponsored,75,0
P2519,Male,CERTIV IT,1,2025,Labasa,410,50,none,none,78,92,70,on time,sponsored,75,1
P2520,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,sponsored,75,0
P2521,Male,CERTIV IT,1,2025,Labasa,410,80,none,none,85,93,90,on time,sponsored,75,1
P2522,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,sponsored,75,0
P2523,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,70,0,75,on time,sponsored,75,1
P2524,Female,CERTIV IT,1,2025,Labasa,410,52,none,none,72,89,78,on time,sponsored,75,1
P2525,Male,CERTIV IT,1,2025,Labasa,410,64,none,none,62,80,84,on time,sponsored,75,1
P2526,Male,CERTIV IT,1,2025,Labasa,410,50,none,none,79,90,83,on time,sponsored,75,1
P2527,Male,CERTIV IT,1,2025,Labasa,410,70,none,none,75,87,85,on time,sponsored,75,1
P2528,Female,CERTIV IT,1,2025,Labasa,410,80,none,none,84,87,90,on time,sponsored,75,1
P2529,Female,CERTIV IT,1,2025,Labasa,410,65,none,none,78,75,90,on time,private,75,1
P2530,Female,CERTIV IT,1,2025,Labasa,410,84,none,none,70,90,89,on time,private,75,1
P2531,Female,CERTIV IT,1,2025,Labasa,410,55,none,none,0,0,0,late submission,private,68,0
P2532,Male,CERTIV IT,1,2025,Labasa,410,52,none,none,72,92,83,on time,private,75,1
P2533,Female,CERTIV IT,1,2025,Labasa,410,75,none,none,50,70,67,on time,sponsored,75,1
P2534,Female,CERTIV IT,1,2025,Labasa,410,68,none,none,81,0,84,on time,sponsored,75,1
P2535,Female,CERTIV IT,1,2025,Labasa,410,66,none,none,74,86,90,on time,sponsored,75,1
P2536,Female,CERTIV IT,1,2025,Labasa,410,52,none,none,72,75,82,on time,sponsored,75,1
P2537,Female,CERTIV IT,1,2025,Labasa,410,60,none,none,78,78,68,on time,sponsored,75,1
P2538,Female,CERTIV IT,1,2025,Labasa,410,70,none,none,80,89,72,on time,sponsored,75,1
P2539,Female,CERTIV IT,1,2025,Labasa,410,60,none,none,71,0,68,on time,sponsored,75,1
P2540,Female,CERTIV IT,1,2025,Labasa,410,90,none,none,85,89,80,on time,sponsored,75,1
P2541,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,sponsored,78,0
P2542,Female,CERTIV IT,1,2025,Labasa,410,78,none,none,84,95,85,on time,sponsored,75,1
P2543,Female,CERTIV IT,1,2025,Labasa,410,78,none,none,85,0,84,on time,sponsored,75,1
P2544,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,60,late submission,sponsored,75,0
P2545,Female,CERTIV IT,1,2025,Labasa,410,50,none,none,60,90,80,on time,sponsored,75,1
P2546,Female,CERTIV IT,1,2025,Labasa,410,65,none,none,78,78,68,on time,sponsored,75,1
P2547,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,67,late submission,sponsored,75,0
P2548,Female,CERTIV IT,1,2025,Labasa,410,55,none,none,84,79,71,on time,sponsored,75,1
P2549,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,70,late submission,sponsored,75,0
P2550,Female,CERTIV IT,1,2025,Labasa,410,50,none,none,80,0,76,on time,sponsored,75,1
P2551,Female,CERTIV IT,1,2025,Labasa,410,70,none,none,74,84,79,on time,private,75,1
P2552,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,sponsored,75,0
P2553,Female,CERTIV IT,1,2025,Labasa,410,78,none,none,73,78,78,on time,sponsored,75,1
P2554,Female,CERTIV IT,1,2025,Labasa,410,70,none,none,85,96,92,on time,sponsored,75,1
P2555,Female,CERTIV IT,1,2025,Labasa,410,75,none,none,80,83,84,on time,sponsored,75,1
P2556,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,80,0,80,on time,sponsored,75,1
P2557,Female,CERTIV IT,1,2025,Labasa,410,77,none,none,74,82,69,on time,sponsored,75,1
P2558,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,62,on time,sponsored,75,1
P2559,Male,CERTIV IT,1,2025,Labasa,410,80,none,none,74,0,85,on time,sponsored,75,1
P2560,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,73,68,87,on time,sponsored,75,1
P2561,Female,CERTIV IT,1,2025,Labasa,410,55,none,none,74,0,0,late submission,sponsored,75,0
P2562,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,sponsored,75,0
P2563,Female,CERTIV IT,1,2025,Labasa,410,60,none,none,75,0,78,late submission,sponsored,72,0
P2564,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,sponsored,55,0
P2565,Female,CERTIV IT,1,2025,Labasa,410,70,none,none,72,82,72,on time,sponsored,75,1
P2566,Female,CERTIV IT,1,2025,Labasa,410,60,none,none,80,90,78,on time,sponsored,75,1
P2567,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,61,late submission,sponsored,54,0
P2568,Female,CERTIV IT,1,2025,Labasa,410,49,none,none,78,0,72,late submission,sponsored,50,0
P2569,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,67,0,0,late submission,sponsored,75,0
P2570,Male,CERTIV IT,1,2025,Labasa,410,75,none,none,64,0,74,late submission,sponsored,75,0
P2571,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,private,70,0
P2572,Female,CERTIV IT,1,2025,Labasa,410,60,none,none,65,0,0,late submission,sponsored,75,0
P2573,Female,CERTIV IT,1,2025,Labasa,410,69,none,none,74,0,84,on time,sponsored,75,1
P2574,Male,CERTIV IT,1,2025,Labasa,410,74,none,none,85,0,74,on time,sponsored,75,1
P2575,Female,CERTIV IT,1,2025,Labasa,410,64,none,none,73,71,80,on time,sponsored,75,1
P2576,Male,CERTIV IT,1,2025,Labasa,410,74,none,none,79,67,81,on time,sponsored,75,1
P2577,Male,CERTIV IT,1,2025,Labasa,410,54,none,none,50,72,70,on time,sponsored,75,1
P2578,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,70,0,67,on time,sponsored,75,1
P2579,Female,CERTIV IT,1,2025,Labasa,410,65,none,none,74,0,70,on time,sponsored,75,1
P2580,Female,CERTIV IT,1,2025,Labasa,410,64,none,none,83,0,81,on time,sponsored,75,1
P2581,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,74,0,73,on time,sponsored,75,1
P2582,Male,CERTIV IT,1,2025,Labasa,410,77,none,none,80,0,75,on time,sponsored,75,1
P2583,Male,CERTIV IT,1,2025,Labasa,410,54,none,none,80,70,82,on time,sponsored,75,1
P2584,Male,CERTIV IT,1,2025,Labasa,410,58,none,none,72,0,67,on time,sponsored,75,1
P2585,Male,CERTIV IT,1,2025,Labasa,410,10,none,none,60,75,75,on time,sponsored,75,1
P2586,Male,CERTIV IT,1,2025,Labasa,410,64,none,none,68,64,75,on time,sponsored,75,1
P2587,Female,CERTIV IT,1,2025,Labasa,410,55,none,none,80,0,81,on time,sponsored,75,1
P2588,Female,CERTIV IT,1,2025,Labasa,410,59,none,none,73,0,0,late submission,private,75,0
P2589,Male,CERTIV IT,1,2025,Labasa,410,52,none,none,0,0,0,late submission,sponsored,75,0
P2590,Male,CERTIV IT,1,2025,Labasa,410,60,none,none,70,0,65,on time,sponsored,75,1
P2591,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,84,0,0,late submission,sponsored,75,0
P2592,Female,CERTIV IT,1,2025,Labasa,410,65,none,none,80,85,76,on time,sponsored,75,1
P2593,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,74,0,0,late submission,sponsored,45,0
P2594,Female,CERTIV IT,1,2025,Labasa,410,50,none,none,82,0,82,on time,sponsored,75,1
P2595,Female,CERTIV IT,1,2025,Labasa,410,70,none,none,72,0,81,on time,private,75,1
P2596,Female,CERTIV IT,1,2025,Labasa,410,54,none,none,82,74,79,on time,sponsored,75,1
P2597,Male,CERTIV IT,1,2025,Labasa,410,0,none,none,65,0,75,on time,sponsored,75,1
P2598,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,sponsored,45,0
P2599,Female,CERTIV IT,1,2025,Labasa,410,0,none,none,0,0,0,late submission,private,46,0
P2600,Female,CERTIV IT,1,2025,Labasa,410,52,none,none,73,90,0,on time,sponsored,75,1
P2601,Female,CERTIV IT,1,2025,Labasa,410,40,none,none,64,0,0,late submission,sponsored,75,0
P2602,Female,CERTIV IT,1,2025,Labasa,410,74,none,none,74,79,80,on time,sponsored,75,1
P2603,Female,CERTIV IT,1,2025,Labasa,411,70,none,38,0,none,84,on time,private,75,1
P2604,Male,CERTIV IT,1,2025,Labasa,411,84,none,43,88,none,92,on time,private,75,1
P2605,Male,CERTIV IT,1,2025,Labasa,411,83,none,44,87,none,86,on time,private,75,1
P2606,Male,CERTIV IT,1,2025,Labasa,411,0,none,44,87,none,0,on time,private,75,1
P2607,Male,CERTIV IT,1,2025,Labasa,411,83,none,40,88,none,86,on time,private,75,1
P2608,Female,CERTIV IT,1,2025,Labasa,411,85,none,43,93,none,90,on time,private,75,1
P2609,Female,CERTIV IT,1,2025,Labasa,411,85,none,42,93,none,86,on time,private,75,1
P2610,Female,CERTIV IT,1,2025,Labasa,411,87,none,46,93,none,92,on time,private,75,1
P2611,Female,CERTIV IT,1,2025,Labasa,411,0,none,0,0,none,0,late submission,private,0,0
P2612,Female,CERTIV IT,1,2025,Labasa,411,81,none,32,87,none,79,on time,private,75,1
P2613,Female,CERTIV IT,1,2025,Labasa,411,84,none,39,89,none,85,on time,private,75,1
P2614,Female,CERTIV IT,1,2025,Labasa,411,77,none,34,88,none,83,on time,private,75,1
P2615,Male,CERTIV IT,1,2025,Labasa,411,0,none,24,0,none,0,late submission,private,0,0
P2616,Female,BIS,1,2025,Labasa,501,80,none,none,70,70,79,on time,sponsored,75,1
P2617,Female,BIS,1,2025,Labasa,501,0,none,none,0,0,0,late submission,sponsored,0,0
P2618,Male,BIS,1,2025,Labasa,501,79,none,none,0,0,0,late submission,sponsored,0,0
P2619,Male,BIS,1,2025,Labasa,501,87,none,none,70,69,88,on time,sponsored,75,1
P2620,Female,BIS,1,2025,Labasa,501,82,none,none,0,68,74,on time,sponsored,75,1
P2621,Female,BIS,1,2025,Labasa,501,83,none,none,0,0,0,late submission,sponsored,75,0
P2622,Female,BIS,1,2025,Labasa,501,0,none,none,65,0,0,late submission,sponsored,45,0
P2623,Female,BIS,1,2025,Labasa,501,85,none,none,67,0,0,late submission,sponsored,50,0
P2624,Male,BIS,1,2025,Labasa,501,85,none,none,70,80,85,on time,sponsored,75,1
P2625,Male,BIS,1,2025,Labasa,501,84,none,none,71,0,0,late submission,sponsored,75,0
P2626,Female,BIS,1,2025,Labasa,501,0,none,none,0,68,80,on time,sponsored,75,1
P2627,Male,BIS,1,2025,Labasa,501,78,none,none,64,77,81,on time,sponsored,75,1
P2628,Male,BIS,1,2025,Labasa,501,84,none,none,65,77,82,on time,sponsored,75,1
P2629,Male,BIS,1,2025,Labasa,501,78,none,none,0,0,72,late submission,sponsored,70,0
P2630,Male,BIS,1,2025,Labasa,501,90,none,none,74,82,84,on time,sponsored,75,1
P2631,Male,BIS,1,2025,Labasa,501,84,none,none,68,75,90,on time,sponsored,75,1
P2632,Female,BIS,1,2025,Labasa,501,65,none,none,68,74,0,late submission,sponsored,75,0
P2633,Female,BIS,1,2025,Labasa,501,82,none,none,65,73,87,on time,sponsored,75,1
P2634,Female,BIS,1,2025,Labasa,501,92,none,none,75,68,88,on time,sponsored,75,1
P2635,Female,BIS,1,2025,Labasa,501,0,none,none,0,0,0,late submission,sponsored,0,0
P2636,Female,BIS,1,2025,Labasa,501,0,none,none,0,0,0,late submission,sponsored,0,0
P2637,Female,BIS,1,2025,Labasa,501,0,none,none,0,0,0,late submission,sponsored,0,0
P2638,Male,BIS,1,2025,Labasa,501,0,none,none,0,0,0,late submission,sponsored,0,0
P2639,Male,BIS,1,2025,Labasa,501,78,none,none,45,68,81,on time,sponsored,75,1
P2640,Female,BIS,1,2025,Labasa,501,0,none,none,0,0,64,late submission,sponsored,70,0
P2641,Female,BIS,1,2025,Labasa,501,79,none,none,67,0,0,late submission,sponsored,75,0
P2642,Male,BIS,1,2025,Labasa,501,64,none,none,72,0,81,late submission,sponsored,75,0
P2643,Female,BIS,1,2025,Labasa,501,64,none,none,62,70,73,on time,sponsored,75,1
P2644,Female,BIS,1,2025,Labasa,501,78,none,none,73,70,67,on time,sponsored,75,1
P2645,Female,BIS,1,2025,Labasa,501,85,none,none,71,69,76,on time,sponsored,75,1
P2646,Female,BIS,1,2025,Labasa,501,67,none,none,0,0,80,late submission,sponsored,70,0
P2647,Male,BIS,1,2025,Labasa,501,91,none,none,71,0,0,late submission,sponsored,55,0
P2648,Female,BIS,1,2025,Labasa,501,83,none,none,69,68,83,on time,sponsored,75,1
P2649,Female,BIS,1,2025,Labasa,501,87,none,none,68,0,0,late submission,sponsored,45,0
P2650,Female,BIS,1,2025,Labasa,501,80,none,none,68,69,85,on time,sponsored,75,1
P2651,Female,BIS,1,2025,Labasa,501,0,none,none,0,0,0,late submission,sponsored,0,0
P2652,Female,BIS,1,2025,Labasa,501,88,none,none,67,70,84,on time,sponsored,75,1
P2653,Male,BIS,1,2025,Labasa,501,80,none,none,63,72,70,on time,sponsored,75,1
P2654,Female,BIS,1,2025,Labasa,501,0,none,none,0,0,0,late submission,sponsored,0,0
P2655,Female,BIS,1,2025,Labasa,501,75,none,none,63,69,67,on time,sponsored,75,1
P2656,Female,BIS,1,2025,Labasa,501,86,none,none,70,83,87,on time,sponsored,75,1
P2657,Female,BIS,1,2025,Labasa,501,86,none,none,70,82,75,on time,sponsored,75,1
P2658,Female,BIS,1,2025,Labasa,501,82,none,none,64,74,74,on time,sponsored,75,1
P2659,Male,BIS,1,2025,Labasa,501,79,none,none,61,69,73,on time,sponsored,75,1
P2660,Female,BIS,1,2025,Labasa,501,84,none,none,0,67,0,late submission,sponsored,0,0
P2661,Male,BIS,1,2025,Labasa,603,68,none,34,none,none,none,on time,sponsored,75,1
P2662,Male,BIS,1,2025,Labasa,603,80,none,40,none,none,none,on time,sponsored,75,1
P2663,Male,BIS,1,2025,Labasa,603,78,none,49,none,none,none,on time,sponsored,75,1
P2664,Male,BIS,1,2025,Labasa,603,0,none,46,none,none,none,on time,sponsored,75,1
P2665,Female,BIS,1,2025,Labasa,603,76,none,47,none,none,none,on time,sponsored,75,1
P2666,Female,BIS,1,2025,Labasa,603,0,none,31,none,none,none,on time,sponsored,75,1
P2667,Female,BIS,1,2025,Labasa,603,85,none,53.56,none,none,none,on time,sponsored,75,1
P2668,Female,BIS,1,2025,Labasa,603,0,none,39,none,none,none,on time,sponsored,75,1
P2669,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,85,0,0,late submission,sponsored,75,0
P2670,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,0,0,0,late submission,sponsored,0,0
P2671,Male,CERTIV IT,1,2024,Labasa,410,0,none,none,75,84,0,late submission,sponsored,75,0
P2672,Male,CERTIV IT,1,2024,Labasa,410,70,none,none,0,90,83,on time,sponsored,75,1
P2673,Male,CERTIV IT,1,2024,Labasa,410,70,none,none,76,0,85,on time,sponsored,75,1
P2674,Male,CERTIV IT,1,2024,Labasa,410,77,none,none,85,85,85,on time,sponsored,75,1
P2675,Male,CERTIV IT,1,2024,Labasa,410,74,none,none,83,0,89,on time,sponsored,75,1
P2676,Male,CERTIV IT,1,2024,Labasa,410,90,none,none,65,84,64,on time,sponsored,75,1
P2677,Female,CERTIV IT,1,2024,Labasa,410,60,none,none,86,84,87,on time,sponsored,75,1
P2678,Male,CERTIV IT,1,2024,Labasa,410,75,none,none,0,0,0,late submission,sponsored,75,0
P2679,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,78,94,74,on time,sponsored,75,1
P2680,Male,CERTIV IT,1,2024,Labasa,410,90,none,none,0,0,0,late submission,sponsored,75,0
P2681,Male,CERTIV IT,1,2024,Labasa,410,0,none,none,0,0,0,late submission,sponsored,0,0
P2682,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,0,0,0,late submission,sponsored,0,0
P2683,Male,CERTIV IT,1,2024,Labasa,410,50,none,none,0,0,0,late submission,sponsored,75,0
P2684,Male,CERTIV IT,1,2024,Labasa,410,0,none,none,75,74,60,on time,sponsored,75,1
P2685,Male,CERTIV IT,1,2024,Labasa,410,81,none,none,70,0,92,late submission,sponsored,75,0
P2686,Male,CERTIV IT,1,2024,Labasa,410,60,none,none,80,0,0,late submission,sponsored,75,0
P2687,Male,CERTIV IT,1,2024,Labasa,410,70,none,none,80,90,88,on time,sponsored,75,1
P2688,Male,CERTIV IT,1,2024,Labasa,410,70,none,none,78,64,0,on time,sponsored,75,1
P2689,Male,CERTIV IT,1,2024,Labasa,410,68,none,none,81,85,90,on time,sponsored,75,1
P2690,Female,CERTIV IT,1,2024,Labasa,410,89,none,none,0,0,0,late submission,sponsored,75,0
P2691,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,0,0,0,late submission,sponsored,0,0
P2692,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,79,0,0,late submission,sponsored,75,0
P2693,Male,CERTIV IT,1,2024,Labasa,410,60,none,none,82,0,65,late submission,sponsored,75,0
P2694,Male,CERTIV IT,1,2024,Labasa,410,75,none,none,78,0,0,late submission,sponsored,75,0
P2695,Male,CERTIV IT,1,2024,Labasa,410,70,none,none,83,0,86,on time,sponsored,75,1
P2696,Female,CERTIV IT,1,2024,Labasa,410,80,none,none,70,0,0,late submission,sponsored,75,0
P2697,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,80,70,68,on time,sponsored,75,1
P2698,Female,CERTIV IT,1,2024,Labasa,410,60,none,none,0,0,0,late submission,sponsored,75,0
P2699,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,0,0,0,late submission,sponsored,0,0
P2700,Male,CERTIV IT,1,2024,Labasa,410,0,none,none,0,0,0,late submission,sponsored,0,0
P2701,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,74,0,81,on time,sponsored,75,1
P2702,Female,CERTIV IT,1,2024,Labasa,410,70,none,none,75,0,0,on time,sponsored,75,1
P2703,Female,CERTIV IT,1,2024,Labasa,410,70,none,none,74,0,0,late submission,sponsored,75,0
P2704,Female,CERTIV IT,1,2024,Labasa,410,75,none,none,0,0,0,late submission,sponsored,75,0
P2705,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,79,65,75,on time,sponsored,75,1
P2706,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,83,0,0,late submission,sponsored,75,0
P2707,Female,CERTIV IT,1,2024,Labasa,410,70,none,none,0,0,0,late submission,sponsored,75,0
P2708,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,0,0,0,late submission,sponsored,0,0
P2709,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,0,0,0,late submission,sponsored,0,1
P2710,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,0,0,0,late submission,sponsored,0,0
P2711,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,80,72,70,on time,sponsored,75,1
P2712,Female,CERTIV IT,1,2024,Labasa,410,60,none,none,82,85,75,on time,sponsored,75,1
P2713,Female,CERTIV IT,1,2024,Labasa,410,82,none,none,78,68,65,on time,sponsored,75,1
P2714,Female,CERTIV IT,1,2024,Labasa,410,54,none,none,84,0,0,late submission,sponsored,75,0
P2715,Female,CERTIV IT,1,2024,Labasa,410,90,none,none,84,85,81,on time,sponsored,75,1
P2716,Female,CERTIV IT,1,2024,Labasa,410,95,none,none,80,90,90,on time,sponsored,75,1
P2717,Male,CERTIV IT,1,2024,Labasa,410,68,none,none,79,0,0,late submission,sponsored,75,0
P2718,Female,CERTIV IT,1,2024,Labasa,410,74,none,none,82,86,75,on time,sponsored,75,1
P2719,Female,CERTIV IT,1,2024,Labasa,410,89,none,none,92,90,85,on time,sponsored,75,1
P2720,Female,CERTIV IT,1,2024,Labasa,410,90,none,none,85,74,74,on time,sponsored,75,1
P2721,Female,CERTIV IT,1,2024,Labasa,410,70,none,none,75,0,85,late submission,sponsored,75,0
P2722,Female,CERTIV IT,1,2024,Labasa,410,60,none,none,86,0,0,late submission,sponsored,75,0
P2723,Female,CERTIV IT,1,2024,Labasa,410,70,none,none,85,0,0,late submission,sponsored,75,0
P2724,Female,CERTIV IT,1,2024,Labasa,410,79,none,none,50,64,0,late submission,sponsored,75,0
P2725,Female,CERTIV IT,1,2024,Labasa,410,70,none,none,80,0,74,late submission,sponsored,75,0
P2726,Female,CERTIV IT,1,2024,Labasa,410,60,none,none,60,0,87,late submission,sponsored,75,0
P2727,Male,CERTIV IT,1,2024,Labasa,410,74,none,none,0,0,0,late submission,sponsored,75,0
P2728,Male,CERTIV IT,1,2024,Labasa,410,0,none,none,60,0,0,late submission,sponsored,75,0
P2729,Female,CERTIV IT,1,2024,Labasa,410,60,none,none,74,0,0,late submission,sponsored,75,0
P2730,Female,CERTIV IT,1,2024,Labasa,410,55,none,none,89,0,0,late submission,sponsored,75,0
P2731,Female,CERTIV IT,1,2024,Labasa,410,79,none,none,0,94,88,on time,sponsored,75,1
P2732,Female,CERTIV IT,1,2024,Labasa,410,80,none,none,0,0,0,late submission,sponsored,75,0
P2733,Female,CERTIV IT,1,2024,Labasa,410,70,none,none,82,85,85,on time,sponsored,75,1
P2734,Female,CERTIV IT,1,2024,Labasa,410,65,none,none,0,0,0,late submission,sponsored,75,0
P2735,Female,CERTIV IT,1,2024,Labasa,410,80,none,none,75,0,0,late submission,sponsored,75,0
P2736,Female,CERTIV IT,1,2024,Labasa,410,70,none,none,80,68,75,on time,sponsored,75,1
P2737,Male,CERTIV IT,1,2024,Labasa,410,0,none,none,0,0,0,late submission,sponsored,0,0
P2738,Male,CERTIV IT,1,2024,Labasa,410,0,none,none,75,81,64,on time,sponsored,75,1
P2739,Male,CERTIV IT,1,2024,Labasa,410,87,none,none,82,0,85,on time,sponsored,75,1
P2740,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,76,0,0,late submission,sponsored,0,0
P2741,Female,CERTIV IT,1,2024,Labasa,410,60,none,none,85,85,72,on time,sponsored,75,1
P2742,Male,CERTIV IT,1,2024,Labasa,410,60,none,none,79,0,0,on time,sponsored,75,1
P2743,Female,CERTIV IT,1,2024,Labasa,410,0,none,none,81,0,84,on time,sponsored,75,1
P2744,Male,CERTIV IT,1,2024,Labasa,410,0,none,none,86,70,80,late submission,sponsored,75,0
P2745,Male,CERTIV IT,1,2024,Labasa,410,80,none,none,80,70,78,on time,sponsored,75,1
P2746,Male,CERTIV IT,1,2024,Labasa,410,70,none,none,85,0,0,late submission,sponsored,75,0
P2747,Female,CERTIV IT,1,2024,Labasa,410,67,none,none,82,70,80,on time,sponsored,75,1
